カテゴリ,項目,現状/仮置き,確認状況,備考
B kyoto,営業時間（バー）,18:00 - 24:00（仮）,未確認,
B kyoto,定休日,火曜日（仮）,未確認,
B kyoto,Google Map URL,未設定,未確認,
B kyoto,予約URL（TableCheck等）,未設定,未確認,
===== 素材：画像 =====,,,,
画像素材,ヒーロー画像（TOP）,Unsplash仮画像,未確認,1枚必要
画像素材,店舗画像（八十八 浅草）,Unsplash仮画像,未確認,3-5枚希望
画像素材,店舗画像（八十八 渋谷）,Unsplash仮画像,未確認,3-5枚希望
画像素材,店舗画像（八十八 鎌倉）,Unsplash仮画像,未確認,3-5枚希望
画像素材,店舗画像（A kyoto）,Unsplash仮画像,未確認,3-5枚希望
画像素材,店舗画像（B kyoto）,Unsplash仮画像,未確認,3-5枚希望
画像素材,商品/メニュー写真,Unsplash仮画像,未確認,各店舗5-10枚希望
画像素材,スタッフ写真（採用ページ用）,なし,未確認,任意 2-3枚
===== 素材：ロゴ =====,,,,
ロゴ,メインロゴ,未提供,未確認,SVG/PNG（透過）
ロゴ,八十八ロゴ,未提供,未確認,SVG/PNG
ロゴ,A kyoto ロゴ,未提供,未確認,SVG/PNG
ロゴ,B kyoto ロゴ,未提供,未確認,SVG/PNG
===== 素材：動画（任意） =====,,,,
動画素材,ブランド動画,未提供,未確認,TOPヒーロー背景用（任意）
動画素材,店舗紹介動画,未提供,未確認,各店舗ページ用（任意）
===== デザイン =====,,,,
カラー,共通ベースカラー,ホワイト,確認済,
カラー,八十八 アクセントカラー,未定,未確認,日本茶グリーン系？
カラー,A kyoto アクセントカラー,未定,未確認,
カラー,B kyoto アクセントカラー,未定,未確認,
===== SNS・外部連携 =====,,,,
Instagram,@8108asakusa_shibuya,存在,未確認,ビジネスアカウント化必要
Instagram,@8108kamakura,存在,未確認,ビジネスアカウント化必要
Instagram,@a__kyoto,存在,未確認,ビジネスアカウント化必要
Instagram,@b__kyoto,存在,未確認,ビジネスアカウント化必要
Instagram,Facebookページ連携,未設定,未確認,Graph API用に必要
Instagram,管理者権限の確認,未確認,未確認,API設定用
その他SNS,X (Twitter),未確認,未確認,あれば
その他SNS,Facebook,未確認,未確認,あれば
その他SNS,YouTube,未確認,未確認,あれば
その他SNS,LINE公式,未確認,未確認,あれば
外部サービス,Google Analytics,未設定,未確認,測定ID (G-XXXXXX)
外部サービス,Google Search Console,未設定,未確認,
外部サービス,TableCheck（予約）,使用中,未確認,各店舗の予約URL必要
===== 採用情報 =====,,,,
採用,募集職種,店舗スタッフ（正社員・アルバイト）（仮）,未確認,
採用,給与（正社員）,月給 220000円〜（仮）,未確認,
採用,給与（アルバイト）,時給 1200円〜（仮）,未確認,
採用,勤務時間,シフト制（仮）,未確認,
採用,待遇・福利厚生,交通費/社保/制服/研修（仮）,未確認,
採用,応募資格,18歳以上/未経験可（仮）,未確認,
===== お問い合わせ =====,,,,
問い合わせ,受信メールアドレス,未設定,未確認,必須
問い合わせ,自動返信の有無,なし,未確認,必要か確認
問い合わせ,問い合わせ種別,一般/サービス/採用/その他,未確認,
===== 法務・ポリシー =====,,,,
法務,プライバシーポリシー,未作成,未確認,必須
法務,利用規約,未作成,未確認,任意
法務,特定商取引法に基づく表記,未作成,未確認,EC時に必要
法務,Cookieポリシー,未作成,未確認,Analytics使用時推奨
===== ドメイン・インフラ =====,,,,
インフラ,現在のドメイン,harayan.onrender.com,確認済,
インフラ,独自ドメイン,未定,未確認,取得予定か確認
インフラ,SSL証明書,Render自動,確認済,
インフラ,メールサーバー,未設定,未確認,独自ドメインメール必要か
===== スケジュール =====,,,,
スケジュール,公開希望日,相談,未確認,
スケジュール,テスト公開,未定,未確認,
スケジュール,本番公開,未定,未確認,
